Brand,Model,Range(km),Long_distance_range(km),Battery_kWh,Weight(kg),Acceleration(0-100s),Efficiency(Wh/km),Seating_Capacity,Market_Segment,Fastcharge_power(kW),Towing_capacity(Kg),Cargo_volume(L),Price_per_range,Price(£)
Porsche,Taycan 4S Sport Turismo,440 km,546 km,82.3 kWh,2270 kg,3.7 sec,187 Wh/km,5,F,195 kW,0 kg,530 L,€273 /km,"€121,800"
Peugeot,e-Traveller Standard 50 kWh,185 km,198 km,46.3 kWh,1969 kg,13.1 sec,250 Wh/km,9,N,78 kW,1000 kg,603 L,€289 /km,"€53,640"
Toyota,Proace Shuttle M 50 kWh,185 km,198 km,46.3 kWh,1969 kg,12.1 sec,250 Wh/km,9,N,78 kW,1000 kg,550 L,€318 /km,N/A
Kia,e-Soul 39.2 kWh,230 km,209 km,39.2 kWh,1610 kg,9.9 sec,170 Wh/km,5,B,37 kW,0 kg,315 L,€167 /km,"€40,290"
Porsche,Taycan Turbo S Cross Turismo,410 km,520 km,83.7 kWh,2395 kg,2.9 sec,204 Wh/km,5,F,216 kW,0 kg,489 L,€470 /km,"€199,168"
Mercedes-Benz,EQE AMG 43 4MATIC (MY24),450 km,491 km,90.6 kWh,2535 kg,4.2 sec,201 Wh/km,5,E,141 kW,1700 kg,430 L,€240 /km,"€104,756"
Opel,Zafira Electric XL 50 kWh,180 km,191 km,46.3 kWh,2056 kg,13.3 sec,257 Wh/km,9,N,78 kW,1000 kg,989 L,€274 /km,"€48,550"
Porsche,Taycan Turbo S Sport Turismo,395 km,501 km,83.7 kWh,2400 kg,2.8 sec,212 Wh/km,5,F,216 kW,0 kg,489 L,€487 /km,"€198,692"
Porsche,Taycan Plus,485 km,621 km,83.7 kWh,2205 kg,5.4 sec,173 Wh/km,5,F,216 kW,0 kg,491 L,€206 /km,"€98,863"
Mercedes-Benz,EQE SUV 300 (MY23),440 km,468 km,89.0 kWh,2460 kg,7.6 sec,202 Wh/km,5,E,120 kW,750 kg,520 L,€190 /km,"€83,748"
Ford,e-Tourneo Custom L1 210 kW,235 km,233 km,64.0 kWh,2557 kg,8.0 sec,272 Wh/km,8,N,70 kW,2000 kg,672 L,€322 /km,"€75,565"
Citroën,ë-SpaceTourer XL 75 kWh,265 km,252 km,69.0 kWh,2161 kg,13.3 sec,260 Wh/km,9,N,79 kW,1000 kg,912 L,€242 /km,"€60,430"
Audi,SQ8 Sportback e-tron,480 km,493 km,106.0 kWh,2725 kg,4.5 sec,221 Wh/km,5,E,144 kW,1800 kg,590 L,€221 /km,"€100,350"
Ford,Mustang Mach-E SR AWD (MY22),345 km,347 km,70.0 kWh,2138 kg,6.3 sec,203 Wh/km,5,D,78 kW,750 kg,619 L,€191 /km,"€62,250"
Citroën,ë-Jumpy Combi M 50 kWh,185 km,198 km,46.3 kWh,1969 kg,12.1 sec,250 Wh/km,9,N,78 kW,1000 kg,507 L,€270 /km,"€51,940"
Citroën,ë-SpaceTourer XL 50 kWh,180 km,191 km,46.3 kWh,1989 kg,12.1 sec,257 Wh/km,9,N,78 kW,1000 kg,912 L,€291 /km,"€54,430"
Opel,Zafira-e Life L 50 kWh,180 km,191 km,46.3 kWh,1989 kg,12.1 sec,257 Wh/km,9,N,78 kW,1000 kg,unknown,€321 /km,"€64,075"
Peugeot,e-Traveller Long 50 kWh,185 km,198 km,46.3 kWh,1989 kg,13.1 sec,250 Wh/km,9,N,78 kW,1000 kg,989 L,€295 /km,"€54,430"
Citroën,ë-Jumpy Combi XL 50 kWh,180 km,191 km,46.3 kWh,1989 kg,12.1 sec,257 Wh/km,9,N,78 kW,1000 kg,912 L,€285 /km,"€52,730"
Peugeot,e-Traveller L3 50 kWh,180 km,191 km,46.3 kWh,2056 kg,13.3 sec,257 Wh/km,9,N,78 kW,1000 kg,989 L,€300 /km,"€47,230"
Opel,Zafira-e Life S 50 kWh,185 km,191 km,46.3 kWh,1932 kg,12.1 sec,250 Wh/km,9,N,78 kW,1000 kg,unknown,€306 /km,"€56,700"
Toyota,Proace Verso M 50 kWh,185 km,198 km,46.3 kWh,1969 kg,12.1 sec,250 Wh/km,8,N,78 kW,1000 kg,603 L,€292 /km,"€58,530"
Citroën,ë-Jumpy Combi XS 50 kWh,185 km,191 km,46.3 kWh,1932 kg,12.1 sec,250 Wh/km,9,N,78 kW,1000 kg,140 L,€246 /km,"€49,080"
Ford,Mustang Mach-E SR AWD (MY23),345 km,347 km,70.0 kWh,2138 kg,6.3 sec,203 Wh/km,5,D,78 kW,750 kg,619 L,€197 /km,"€69,200"
Opel,Combo Electric XL 50 kWh,230 km,242 km,50.0 kWh,1881 kg,11.3 sec,217 Wh/km,7,N,80 kW,750 kg,1050 L,€175 /km,"€39,600"
Toyota,Proace Shuttle M 75 kWh,265 km,252 km,69.0 kWh,2131 kg,13.1 sec,260 Wh/km,9,N,79 kW,1000 kg,550 L,€227 /km,N/A
Opel,Vivaro-e Combi M 50 kWh,185 km,198 km,46.3 kWh,1969 kg,12.1 sec,250 Wh/km,9,N,78 kW,1000 kg,507 L,€255 /km,"€50,992"
Fiat,E-Ulysse L3 50 kWh,180 km,191 km,46.3 kWh,1989 kg,12.1 sec,257 Wh/km,8,N,78 kW,1000 kg,800 L,€317 /km,"€56,990"
Peugeot,e-Expert Combi Compact 50 kWh,185 km,191 km,46.3 kWh,1932 kg,12.1 sec,250 Wh/km,9,N,78 kW,1000 kg,unknown,€243 /km,"€49,080"
Peugeot,e-Expert Combi Long 50 kWh,185 km,198 km,46.3 kWh,1989 kg,13.1 sec,250 Wh/km,9,N,78 kW,1000 kg,989 L,€278 /km,"€52,730"
Peugeot,e-Traveller Compact 50 kWh,185 km,191 km,46.3 kWh,1932 kg,12.1 sec,250 Wh/km,9,N,78 kW,1000 kg,unknown,€275 /km,"€50,880"
